question,answer,relevant_laws,sections_extracted
ถ้าเมื่อบังคับตามสัญญาค้ำประกันนั้น ผู้ค้ำประกันไม่ชำระหนี้ทั้งหมดของลูกหนี้ รวมทั้งดอกเบี้ย ค่าสินไหมทดแทน และอุปกรณ์ด้วยหนี้ยังเหลือที่ต้องใช้ลูกหนี้ต้องทำอย่างไรตามกฎหมาย,ลูกหนี้ยังคงรับผิดต่อเจ้าหนี้ในส่วนที่เหลือนั้น,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 685\nถ้าเมื่อบังคับตามสัญญาค้ำประกันนั้น ผู้ค้ำประกันไม่ชำระหนี้ทั้งหมดของลูกหนี้ รวมทั้งดอกเบี้ย ค่าสินไหมทดแทน และอุปกรณ์ด้วยไซร้ หนี้ยังเหลืออยู่เท่าใด ท่านว่าลูกหนี้ยังคงรับผิดต่อเจ้าหนี้ในส่วนที่เหลือนั้น', 'section_num': '685'}]",['685']
ภาระจำยอมได้มาโดยอายุความได้หรือไม่,ภาระจำยอมอาจได้มาโดยอายุความ,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1401\nภาระจำยอมอาจได้มาโดยอายุความ ท่านให้นำบทบัญญัติว่าด้วยอายุความได้สิทธิอันกล่าวไว้ในลักษณะ 3 แห่งบรรพนี้มาใช้บังคับโดยอนุโลม', 'section_num': '1401'}]",['1401']
ทรัพย์สินซึ่งจำนองเป็นประกันค่าอุปกรณ์อะไรบ้าง,(1) ดอกเบี้ย (2) ค่าสินไหมทดแทนในการไม่ชำระหนี้ (3) ค่าธรรมเนียมในการบังคับจำนอง,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 715\nทรัพย์สินซึ่งจำนองย่อมเป็นประกันเพื่อการชำระหนี้กับทั้งค่าอุปกรณ์ต่อไปนี้ด้วย คือ\n(1) ดอกเบี้ย\n(2) ค่าสินไหมทดแทนในการไม่ชำระหนี้\n(3) ค่าฤชาธรรมเนียมในการบังคับจำนอง', 'section_num': '715'}]",['715']
บริษัทจำกัดสามารถถือหุ้นบริษัทตนเองได้ไหม,ไม่ได้ เพราะกฎหมายห้ามมิให้บริษัทจำกัดเป็นเจ้าของถือหุ้นของตนเองหรือรับจำนำหุ้นของตนเอง,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1143\nห้ามมิให้บริษัทจำกัดเป็นเจ้าของถือหุ้นของตนเอง หรือรับจำนำหุ้นของตนเอง', 'section_num': '1143'}]",['1143']
ตัวแทนสามารถรับบำเหน็จได้ไหม,ตัวแทนไม่มีสิทธิจะได้รับบำเหน็จ เว้นแต่จะได้มีข้อตกลงกันไว้ในสัญญาว่ามีบำเหน็จ หรือทางการที่คู่สัญญาประพฤติต่อกันนั้นเป็นปริยายว่ามีบำเหน็จ หรือเคยเป็นธรรมเนียมมีบำเหน็จ,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 803\nตัวแทนไม่มีสิทธิจะได้รับบำเหน็จ เว้นแต่จะได้มีข้อตกลงกันไว้ในสัญญาว่ามีบำเหน็จ หรือทางการที่คู่สัญญาประพฤติต่อกันนั้นเป็นปริยายว่ามีบำเหน็จ หรือเคยเป็นธรรมเนียมมีบำเหน็จ', 'section_num': '803'}]",['803']
เป็นผู้ค้ำประกันต้องรับผิดค่าฤชาธรรมเนียมของลูกหนี้ไหม,ผู้ค้ำประกันต้องรับผิดค่าฤชาธรรมเนียมของลูกหนี้ที่จะต้องใช้ให้แก่เจ้าหนี้ แต่ถ้าโจทก์ฟ้องคดีโดยไม่ได้เรียกให้ผู้ค้ำประกันชำระหนี้นั้นก่อน ผู้ค้ำประกันไม่ต้องรับผิดเพื่อใช้ค่าฤชาธรรมเนียมเช่นนั้นไม่,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 684\nผู้ค้ำประกันย่อมรับผิดเพื่อค่าฤชาธรรมเนียมความซึ่งลูกหนี้จะต้องใช้ให้แก่เจ้าหนี้ แต่ถ้าโจทก์ฟ้องคดีโดยมิได้เรียกให้ผู้ค้ำประกันชำระหนี้นั้นก่อนไซร้ ท่านว่าผู้ค้ำประกันหาต้องรับผิดเพื่อใช้ค่าฤชาธรรมเนียมเช่นนั้นไม่', 'section_num': '684'}]",['684']
สิทธิหน้าที่ภริยาหรือสามีที่เป็นผู้อนุบาลบุคคลซึ่งเป็นสามีหรือภริยาที่ศาลสั่งให้เป็นคนไร้ความสามารถ,ในกรณีที่ศาลสั่งให้สามีหรือภริยาเป็นคนไร้ความสามารถและภริยาหรือสามีเป็นผู้อนุบาล ให้นำบทบัญญัติว่าด้วยสิทธิและหน้าที่ของผู้ใช้อำนาจปกครองมาใช้บังคับโดยอนุโลม เว้นแต่สิทธิตามกฎหมายบางอย่างที่กฎหมายกำหนดข้อยกเว้นไว้ไม่ให้นำเรื่องด้วยสิทธิและหน้าที่ของผู้ใช้อำนาจปกครองมาใช้บังคับโดยอนุโลม,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1598/15\nในกรณีที่ศาลสั่งให้สามีหรือภริยาเป็นคนไร้ความสามารถและภริยาหรือสามีเป็นผู้อนุบาล ให้นำบทบัญญัติว่าด้วยสิทธิและหน้าที่ของผู้ใช้อำนาจปกครองมาใช้บังคับโดยอนุโลม เว้นแต่สิทธิตามมาตรา 1567 (2) และ (3)', 'section_num': '1598/15'}]","['1598/15', '1567', '1598']"
ของตกจากบ้านไปใส่คนอื่นจะต้องรับผิดไหม,ต้องรับผิดชอบ เพราะตามกฎหมายบุคคลผู้อยู่ในโรงเรือนต้องรับผิดชอบในความเสียหายอันเกิดเพราะของตกหล่นจากโรงเรือนนั้น หรือเพราะทิ้งขว้างของไปตกในที่อันมิควร,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 436\nบุคคลผู้อยู่ในโรงเรือนต้องรับผิดชอบในความเสียหายอันเกิดเพราะของตกหล่นจากโรงเรือนนั้น หรือเพราะทิ้งขว้างของไปตกในที่อันมิควร', 'section_num': '436'}]",['436']
สิทธิเหนือพื้นดินโอนให้กันได้ไหม,"ถ้าไม่ได้กำหนดไว้เป็นอย่างอื่นในนิติกรรมอันก่อให้เกิดสิทธิเหนือพื้นดิน สิทธิเหนือพื้นดินอาจโอนได้และรับมรดกกันได้ 

 ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1411 ถ้ามิได้กำหนดไว้เป็นอย่างอื่นในนิติกรรมอันก่อให้เกิดสิทธิเหนือพื้นดินไซร้ ท่านว่าสิทธินั้นอาจโอนได้และรับมรดกกันได้","[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1411\nถ้ามิได้กำหนดไว้เป็นอย่างอื่นในนิติกรรมอันก่อให้เกิดสิทธิเหนือพื้นดินไซร้ ท่านว่าสิทธินั้นอาจโอนได้และรับมรดกกันได้', 'section_num': '1411'}]",['1411']
ถ้าสละเจตนาครอบครองสิ่งของ ใครจะเป็นเจ้าของสิ่งของนั้น,"ถ้าเจ้าของสังหาริมทรัพย์เลิกครอบครองทรัพย์ด้วยเจตนาสละกรรมสิทธิ์ไซร้ ท่านว่าสังหาริมทรัพย์นั้นไม่มีเจ้าของ 

ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1319 ถ้าเจ้าของสังหาริมทรัพย์เลิกครอบครองทรัพย์ด้วยเจตนาสละกรรมสิทธิ์ไซร้ ท่านว่าสังหาริมทรัพย์นั้นไม่มีเจ้าของ","[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1319\nถ้าเจ้าของสังหาริมทรัพย์เลิกครอบครองทรัพย์ด้วยเจตนาสละกรรมสิทธิ์ไซร้ ท่านว่าสังหาริมทรัพย์นั้นไม่มีเจ้าของ', 'section_num': '1319'}]",['1319']
ขโมยของมาจะได้กรรมสิทธิ์ของที่ขโมยไหม,"ทรัพย์สินได้มาโดยการกระทำผิด ผู้กระทำผิดหรือผู้รับโอนไม่สุจริตจะได้กรรมสิทธิ์โดยอายุความก็แต่เมื่อพ้นกำหนดอายุความอาชญา หรือพ้นเวลาที่กำหนดไว้ในมาตราก่อน ถ้ากำหนดไหนยาวกว่า ท่านให้ใช้กำหนดนั้น 


 ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1383 ทรัพย์สินอันได้มาโดยการกระทำผิดนั้น ท่านว่าผู้กระทำผิดหรือผู้รับโอนไม่สุจริตจะได้กรรมสิทธิ์โดยอายุความก็แต่เมื่อพ้นกำหนดอายุความอาชญา หรือพ้นเวลาที่กำหนดไว้ในมาตราก่อน ถ้ากำหนดไหนยาวกว่า ท่านให้ใช้กำหนดนั้น","[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1383\nทรัพย์สินอันได้มาโดยการกระทำผิดนั้น ท่านว่าผู้กระทำผิดหรือผู้รับโอนไม่สุจริตจะได้กรรมสิทธิ์โดยอายุความก็แต่เมื่อพ้นกำหนดอายุความอาชญา หรือพ้นเวลาที่กำหนดไว้ในมาตราก่อน ถ้ากำหนดไหนยาวกว่า ท่านให้ใช้กำหนดนั้น', 'section_num': '1383'}]",['1383']
ของที่จะให้เช่าหายไปจนหมดจะบังคับตามสัญญาเช่าจะยังคงอยู่ไหม,"สัญญาเช่าก็ย่อมระงับไปด้วย

ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 567 ถ้าทรัพย์สินซึ่งให้เช่าสูญหายไปทั้งหมดไซร้ ท่านว่าสัญญาเช่าก็ย่อมระงับไปด้วย","[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 567\nถ้าทรัพย์สินซึ่งให้เช่าสูญหายไปทั้งหมดไซร้ ท่านว่าสัญญาเช่าก็ย่อมระงับไปด้วย', 'section_num': '567'}]",['567']
คำนวณหุ้นลงแรงเป็นเงินยังไง,"ถ้าผู้เป็นหุ้นส่วนคนใดได้ลงแต่แรงงานของตนเข้าเป็นหุ้น และในสัญญาเข้าหุ้นส่วนมิได้ตีราคาค่าแรงไว้ ให้คำนวณส่วนกำไรของผู้ที่เป็นหุ้นส่วนด้วยลงแรงงานเช่นนั้น เสมอด้วยส่วนถัวเฉลี่ยของผู้เป็นหุ้นส่วนซึ่งได้ลงเงินหรือลงทรัพย์สินเข้าหุ้นในการนั้น 

ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1028","[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1028\nถ้าผู้เป็นหุ้นส่วนคนใดได้ลงแต่แรงงานของตนเข้าเป็นหุ้น และในสัญญาเข้าหุ้นส่วนมิได้ตีราคาค่าแรงไว้ ท่านให้คำนวณส่วนกำไรของผู้ที่เป็นหุ้นส่วนด้วยลงแรงงานเช่นนั้น เสมอด้วยส่วนถัวเฉลี่ยของผู้เป็นหุ้นส่วนซึ่งได้ลงเงินหรือลงทรัพย์สินเข้าหุ้นในการนั้น', 'section_num': '1028'}]",['1028']
ตัวแทนขอรับบำเหน็จในการกระทำที่ไม่ได้ให้อำนาจไว้ได้ไหม,การในหน้าที่ตัวแทนส่วนใดตัวแทนได้ทำไม่ชอบในส่วนนั้น ท่านว่าตัวแทนไม่มีสิทธิจะได้บำเหน็จ ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 818 การในหน้าที่ตัวแทนส่วนใดตัวแทนได้ทำมิชอบในส่วนนั้น ท่านว่าตัวแทนไม่มีสิทธิจะได้บำเหน็จ,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 818\nการในหน้าที่ตัวแทนส่วนใดตัวแทนได้ทำมิชอบในส่วนนั้น ท่านว่าตัวแทนไม่มีสิทธิจะได้บำเหน็จ', 'section_num': '818'}]",['818']
ลูกหนี้ร่วมต้องรับผิดระหว่างกันเองยังไง,ระหว่างลูกหนี้ร่วมกันทั้งหลายนั้น ต่างคนต่างต้องรับผิดเป็นส่วนเท่า ๆ กัน เว้นแต่จะได้กำหนดไว้เป็นอย่างอื่น ถ้าส่วนที่ลูกหนี้ร่วมกันคนใดคนหนึ่งจะชำระหนี้ แต่ยังขาดอยู่เท่าไร ลูกหนี้คนอื่น ๆ ซึ่งจำต้องออกส่วนด้วยนั้นก็ต้องรับในหนี้ส่วนที่เหลือ แต่ถ้าลูกหนี้ร่วมกันคนใดเจ้าหนี้ได้ปลดให้หลุดพ้นจากหนี้อันร่วมกันนั้นแล้ว ส่วนที่ลูกหนี้คนนั้นจะต้องชำระหนี้ก็ไม่ต้องชำระแก่เจ้าหนี้อีก ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 296 ในระหว่างลูกหนี้ร่วมกันทั้งหลายนั้น ท่านว่าต่างคนต่างต้องรับผิดเป็นส่วนเท่า ๆ กัน เว้นแต่จะได้กำหนดไว้เป็นอย่างอื่น ถ้าส่วนที่ลูกหนี้ร่วมกันคนใดคนหนึ่งจะพึงชำระนั้น เป็นอันจะเรียกเอาจากคนนั้นไม่ได้ไซร้ ยังขาดจำนวนอยู่เท่าไรลูกหนี้คนอื่น ๆ ซึ่งจำต้องออกส่วนด้วยนั้นก็ต้องรับใช้ แต่ถ้าลูกหนี้ร่วมกันคนใดเจ้าหนี้ได้ปลดให้หลุดพ้นจากหนี้อันร่วมกันนั้นแล้ว ส่วนที่ลูกหนี้คนนั้นจะพึงต้องชำระหนี้ก็ตกเป็นพับแก่เจ้าหนี้ไป,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 296\nในระหว่างลูกหนี้ร่วมกันทั้งหลายนั้น ท่านว่าต่างคนต่างต้องรับผิดเป็นส่วนเท่า ๆ กัน เว้นแต่จะได้กำหนดไว้เป็นอย่างอื่น ถ้าส่วนที่ลูกหนี้ร่วมกันคนใดคนหนึ่งจะพึงชำระนั้น เป็นอันจะเรียกเอาจากคนนั้นไม่ได้ไซร้ ยังขาดจำนวนอยู่เท่าไรลูกหนี้คนอื่น ๆ ซึ่งจำต้องออกส่วนด้วยนั้นก็ต้องรับใช้ แต่ถ้าลูกหนี้ร่วมกันคนใดเจ้าหนี้ได้ปลดให้หลุดพ้นจากหนี้อันร่วมกันนั้นแล้ว ส่วนที่ลูกหนี้คนนั้นจะพึงต้องชำระหนี้ก็ตกเป็นพับแก่เจ้าหนี้ไป', 'section_num': '296'}]",['296']
ทำรางน้ำตกใส่ข้างบ้านได้ไหม,ไม่ได้ เจ้าของอสังหาริมทรัพย์ไม่สามารถทำหลังคาหรือการปลูกสร้างอย่างอื่น ซึ่งทำให้น้ำฝนตกลงยังทรัพย์สินซึ่งอยู่ติดต่อกัน ท่านมิให้เจ้าของอสังหาริมทรัพย์ทำหลังคาหรือการปลูกสร้างอย่างอื่น ซึ่งทำให้น้ำฝนตกลงยังทรัพย์สินซึ่งอยู่ติดต่อกัน,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1341\nท่านมิให้เจ้าของอสังหาริมทรัพย์ทำหลังคาหรือการปลูกสร้างอย่างอื่น ซึ่งทำให้น้ำฝนตกลงยังทรัพย์สินซึ่งอยู่ติดต่อกัน', 'section_num': '1341'}]",['1341']
การเปลี่ยนตัวแทนนิติบุคคลมมีผลเมื่อใด,การเปลี่ยนตัวผู้แทนของนิติบุคคล หรือการจำกัดหรือแก้ไขเปลี่ยนแปลงอำนาจของผู้แทนของนิติบุคคล ให้มีผลต่อเมื่อได้ปฏิบัติตามกฎหมาย ข้อบังคับหรือตราสารจัดตั้งแล้ว แต่จะยกขึ้นเป็นข้อต่อสู้บุคคลภายนอกผู้กระทำการโดยสุจริตมิได้ ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 72 การเปลี่ยนตัวผู้แทนของนิติบุคคล หรือการจำกัดหรือแก้ไขเปลี่ยนแปลงอำนาจของผู้แทนของนิติบุคคล ให้มีผลต่อเมื่อได้ปฏิบัติตามกฎหมาย ข้อบังคับหรือตราสารจัดตั้งแล้ว แต่จะยกขึ้นเป็นข้อต่อสู้บุคคลภายนอกผู้กระทำการโดยสุจริตมิได้,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 72\nการเปลี่ยนตัวผู้แทนของนิติบุคคล หรือการจำกัดหรือแก้ไขเปลี่ยนแปลงอำนาจของผู้แทนของนิติบุคคล ให้มีผลต่อเมื่อได้ปฏิบัติตามกฎหมาย ข้อบังคับหรือตราสารจัดตั้งแล้ว แต่จะยกขึ้นเป็นข้อต่อสู้บุคคลภายนอกผู้กระทำการโดยสุจริตมิได้', 'section_num': '72'}]",['72']
ถ้าไม่ได้กำหนดระยะเวลาห้ามโอนไว้แค่บอกว่าห้ามโอน การห้ามโอนนั้นมีระยะเวลาเท่าใด,ถ้าไม่ได้กำหนดเวลาห้ามโอนไว้ ในกรณีที่ผู้รับประโยชน์เป็นบุคคลธรรมดา ให้ถือว่าข้อกำหนดห้ามโอนมีระยะเวลาอยู่ตลอดชีวิตของผู้รับประโยชน์ แต่ในกรณีที่ผู้รับประโยชน์เป็นนิติบุคคล ให้มีระยะเวลาเพียง 30 ปี ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1701 ข้อกำหนดห้ามโอนตามมาตราก่อนนั้นจะให้มีกำหนดเวลาหรือตลอดชีวิตของผู้รับประโยชน์ก็ได้ ถ้าไม่ได้กำหนดเวลาห้ามโอนไว้ ในกรณีที่ผู้รับประโยชน์เป็นบุคคลธรรมดา ให้ถือว่าข้อกำหนดห้ามโอนมีระยะเวลาอยู่ตลอดชีวิตของผู้รับประโยชน์ แต่ในกรณีที่ผู้รับประโยชน์เป็นนิติบุคคล ให้มีระยะเวลาเพียงสามสิบปี ถ้าได้กำหนดเวลาห้ามโอนไว้ กำหนดนั้นมิให้เกินสามสิบปี ถ้ากำหนดไว้นานกว่านั้น ก็ให้ลดลงมาเป็นสามสิบปี,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1701\nข้อกำหนดห้ามโอนตามมาตราก่อนนั้นจะให้มีกำหนดเวลาหรือตลอดชีวิตของผู้รับประโยชน์ก็ได้\nถ้าไม่ได้กำหนดเวลาห้ามโอนไว้ ในกรณีที่ผู้รับประโยชน์เป็นบุคคลธรรมดา ให้ถือว่าข้อกำหนดห้ามโอนมีระยะเวลาอยู่ตลอดชีวิตของผู้รับประโยชน์ แต่ในกรณีที่ผู้รับประโยชน์เป็นนิติบุคคล ให้มีระยะเวลาเพียงสามสิบปี\nถ้าได้กำหนดเวลาห้ามโอนไว้ กำหนดนั้นมิให้เกินสามสิบปี ถ้ากำหนดไว้นานกว่านั้น ก็ให้ลดลงมาเป็นสามสิบปี', 'section_num': '1701'}]",['1701']
ริบหุ้นแล้วต้องทำยังไงต่อ,หุ้นซึ่งริบแล้วนั้นให้เอาออกขายทอดตลาดโดยไม่ชักช้า ได้จำนวนเงินเท่าใดให้เอาหักใช้ค่าหุ้นที่เรียกกับดอกเบี้ยค้างชำระ ถ้ายังมีเงินเหลือเท่าใดต้องส่งคืนให้แก่ผู้ถือหุ้นนั้น ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1125 หุ้นซึ่งริบแล้วนั้นให้เอาออกขายทอดตลาดโดยไม่ชักช้า ได้จำนวนเงินเท่าใดให้เอาหักใช้ค่าหุ้นที่เรียกกับดอกเบี้ยค้างชำระ ถ้ายังมีเงินเหลือเท่าใดต้องส่งคืนให้แก่ผู้ถือหุ้นนั้น,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1125\nหุ้นซึ่งริบแล้วนั้นให้เอาออกขายทอดตลาดโดยไม่ชักช้า ได้จำนวนเงินเท่าใดให้เอาหักใช้ค่าหุ้นที่เรียกกับดอกเบี้ยค้างชำระ ถ้ายังมีเงินเหลือเท่าใดต้องส่งคืนให้แก่ผู้ถือหุ้นนั้น', 'section_num': '1125'}]",['1125']
เป็นผู้จัดการทรัพย์สินจะได้ค่าตอบแทนไหม,"คำสั่งตั้งผู้จัดการทรัพย์สิน ศาลจะกำหนดบำเหน็จให้แก่ผู้จัดการทรัพย์สินโดยจ่ายจากทรัพย์สินของผู้ไม่อยู่นั้นก็ได้ ถ้าศาลมิได้กำหนด ผู้จัดการทรัพย์สินจะร้องขอต่อศาลให้กำหนดบำเหน็จในภายหลังก็ได้ ถ้าผู้จัดการทรัพย์สิน หรือผู้มีส่วนได้เสีย หรือพนักงานอัยการร้องขอ หรือเมื่อมีกรณีปรากฏแก่ศาลว่า พฤติการณ์เกี่ยวกับการจัดการทรัพย์สินได้เปลี่ยนแปลงไป ศาลจะสั่งกำหนดบำเหน็จ งด ลด เพิ่ม หรือกลับให้บำเหน็จแก่ผู้จัดการทรัพย์สินอีกก็ได้ 

ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 57 ในคำสั่งตั้งผู้จัดการทรัพย์สิน ศาลจะกำหนดบำเหน็จให้แก่ผู้จัดการทรัพย์สินโดยจ่ายจากทรัพย์สินของผู้ไม่อยู่นั้นก็ได้ ถ้าศาลมิได้กำหนด ผู้จัดการทรัพย์สินจะร้องขอต่อศาลให้กำหนดบำเหน็จในภายหลังก็ได้ ถ้าผู้จัดการทรัพย์สิน หรือผู้มีส่วนได้เสีย หรือพนักงานอัยการร้องขอ หรือเมื่อมีกรณีปรากฏแก่ศาลว่า พฤติการณ์เกี่ยวกับการจัดการทรัพย์สินได้เปลี่ยนแปลงไป ศาลจะสั่งกำหนดบำเหน็จ งด ลด เพิ่ม หรือกลับให้บำเหน็จแก่ผู้จัดการทรัพย์สินอีกก็ได้","[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 57\nในคำสั่งตั้งผู้จัดการทรัพย์สิน ศาลจะกำหนดบำเหน็จให้แก่ผู้จัดการทรัพย์สินโดยจ่ายจากทรัพย์สินของผู้ไม่อยู่นั้นก็ได้ ถ้าศาลมิได้กำหนด ผู้จัดการทรัพย์สินจะร้องขอต่อศาลให้กำหนดบำเหน็จในภายหลังก็ได้\nถ้าผู้จัดการทรัพย์สิน หรือผู้มีส่วนได้เสีย หรือพนักงานอัยการร้องขอ หรือเมื่อมีกรณีปรากฏแก่ศาลว่า พฤติการณ์เกี่ยวกับการจัดการทรัพย์สินได้เปลี่ยนแปลงไป ศาลจะสั่งกำหนดบำเหน็จ งด ลด เพิ่ม หรือกลับให้บำเหน็จแก่ผู้จัดการทรัพย์สินอีกก็ได้', 'section_num': '57'}]",['57']
อายุความนับยังไง,"อายุความให้เริ่มนับแต่ขณะที่อาจบังคับสิทธิเรียกร้องได้เป็นต้นไปถ้าเป็นสิทธิเรียกร้องให้งดเว้นกระทำการอย่างใด ให้เริ่มนับแต่เวลาแรกที่ฝ่าฝืนกระทำการนั้น 

ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 193/12 อายุความให้เริ่มนับแต่ขณะที่อาจบังคับสิทธิเรียกร้องได้เป็นต้นไปถ้าเป็นสิทธิเรียกร้องให้งดเว้นกระทำการอย่างใด ให้เริ่มนับแต่เวลาแรกที่ฝ่าฝืนกระทำการนั้น","[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 193/12\nอายุความให้เริ่มนับแต่ขณะที่อาจบังคับสิทธิเรียกร้องได้เป็นต้นไปถ้าเป็นสิทธิเรียกร้องให้งดเว้นกระทำการอย่างใด ให้เริ่มนับแต่เวลาแรกที่ฝ่าฝืนกระทำการนั้น', 'section_num': '193/12'}]","['193/12', '193']"
สละมรดกยังไง,"การสละมรดกนั้น ต้องแสดงเจตนาชัดแจ้งเป็นหนังสือมอบไว้แก่พนักงานเจ้าหน้าที่ หรือทำเป็นสัญญาประนีประนอมยอมความ 

ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1612 การสละมรดกนั้น ต้องแสดงเจตนาชัดแจ้งเป็นหนังสือมอบไว้แก่พนักงานเจ้าหน้าที่ หรือทำเป็นสัญญาประนีประนอมยอมความ","[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1612\nการสละมรดกนั้น ต้องแสดงเจตนาชัดแจ้งเป็นหนังสือมอบไว้แก่พนักงานเจ้าหน้าที่ หรือทำเป็นสัญญาประนีประนอมยอมความ', 'section_num': '1612'}]",['1612']
ถูกตั้งให้เป็นตัวแทนแต่ผู้ตั้งตัวแทนไม่อยู่และสัญญาหมดลงแต่ต้องจัดการทรัพย์สินให้อยู่ในสภาพดีจะสามารถทำได้ไหม,"ในกรณีที่ผู้ไม่อยู่ได้ตั้งตัวแทนผู้รับมอบอำนาจทั่วไปไว้ และสัญญาตัวแทนระงับสิ้นไป หรือปรากฏว่าตัวแทนผู้รับมอบอำนาจทั่วไปได้จัดการทรัพย์สินนั้นในลักษณะที่อาจเสียหายแก่บุคคลดังกล่าว ศาลจะสั่งให้ทำการอย่างใดอย่างหนึ่งไปพลางเพื่อจัดการทรัพย์สินผู้ไม่อยู่นั้นก็ได้ 

ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 49 ในกรณีที่ผู้ไม่อยู่ได้ตั้งตัวแทนผู้รับมอบอำนาจทั่วไปไว้ และสัญญาตัวแทนระงับสิ้นไป หรือปรากฏว่าตัวแทนผู้รับมอบอำนาจทั่วไปได้จัดการทรัพย์สินนั้นในลักษณะที่อาจเสียหายแก่บุคคลดังกล่าว ให้นำมาตรา 48 มาใช้บังคับโดยอนุโลม","[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 49\nในกรณีที่ผู้ไม่อยู่ได้ตั้งตัวแทนผู้รับมอบอำนาจทั่วไปไว้ และสัญญาตัวแทนระงับสิ้นไป หรือปรากฏว่าตัวแทนผู้รับมอบอำนาจทั่วไปได้จัดการทรัพย์สินนั้นในลักษณะที่อาจเสียหายแก่บุคคลดังกล่าว ให้นำมาตรา 48 มาใช้บังคับโดยอนุโลม', 'section_num': '49'}]","['49', '48']"
